区域,名称,景点id,类型,级别,热度,地址,特色,经度,纬度,票价,月销量,图片
海南·儋州,蓝洋温泉高尔夫球会,3910743154,运动健身,无级别,热度 0.98,海南省儋州市蓝洋镇蓝洋温泉度假区,一座兼具森林与丘陵的复合型球场,109.68214,19.459209,无票价,无销量,http://img1.qunarzz.com/sight/p0/1502/44/44b7987cfb407dd7.water.jpg_280x200_e998b5e4.jpg
内蒙古·巴彦淖尔·乌拉特前旗,维信国际高尔夫度假村,3800699969,运动健身,4A景区,热度 0.76,巴彦淖尔市乌拉特前旗巴音花镇(110国道包头西38公里处)维信国际高尔夫度假村,球场环境优美，自然古朴宁静，耐人寻味,109.27238,40.648999,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201401/26/3115ac6c15105fbbec536fde984ac4c8.jpg_280x200_3287cf43.jpg
浙江·杭州·好乐迪KTV（国际花园店）,黄龙体育中心,4122102478,运动健身,无级别,热度 0.74,浙江省杭州市西湖区黄龙路1号体育场西区,一座建筑造型新颖一流水准的体育场,120.14086069937,30.27178137,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1702/63/6393a438822de5eba3.water.jpg_280x200_52f7899a.jpg
北京·北京·海淀区,首都体育馆,3642325431,运动健身,无级别,热度 0.72,北京市海淀区中关村南大街56号,绿荫环抱，环境优美,116.3284,39.94,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201312/05/48f9eda06d6df32de1156527229d8b03.jpg_280x200_c7ee0d45.jpg
广东·广州·白云区,广州体育馆,2865406372,运动健身,无级别,热度 0.72,广东省广州市白云区白云大道南783号,比赛，文艺表演、会议展览多功能体育建筑,113.284059,23.187447,无票价,无销量,http://img1.qunarzz.com/sight/p32/201211/09/dee25c7cfa6596ff93835fbb.jpg_280x200_f2360d24.jpg
广东·珠海·香洲区,珠海国际赛车场,1072118262,运动健身,无级别,热度 0.72,珠海市金鼎镇,珠海国际赛车场位于珠海市金鼎镇，占地面积共4平方公里。是目前亚洲六个A级赛道(其中包括日本4个、印尼1个)。珠海国际赛车,113.566063743,22.36323269,无票价,无销量,http://img1.qunarzz.com/sight/p52/201211/00/4fd7ed0ec73cfc1c93835fbb.jpg_280x200_e22b6db2.jpg
河南·南阳·老界岭,老界岭滑雪场,769181457,运动健身,无级别,热度 0.72,河南省南阳市西峡县太平镇,位在中原林海雪原，雪质优良，项目丰富,111.688345,33.628154,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201301/11/dcfb1114b14fd62b93835fbb.jpg_280x200_778be243.jpg
黑龙江·大兴安岭·加格达奇区,映山红滑雪场,2418791943,运动健身,无级别,热度 0.72,黑龙江省大兴安岭加格达奇区映山红滑雪场,天然雪场，惊险刺激，满足各类滑雪者需求,124.077724,50.39125,无票价,无销量,http://img1.qunarzz.com/sight/p0/1501/73/73fd71cf0ba43ebc.water.jpg_280x200_b8a9783b.jpg
湖南·长沙·天心区,贺龙体育馆,2801620679,运动健身,无级别,热度 0.72,长沙市侯家塘,一座综合性多功能的现代化体育馆,112.982229,28.174124,无票价,无销量,http://img1.qunarzz.com/sight/p0/1412/c4/8543b224463f2bdef3abe119c8ee37ae.water.jpg_280x200_c1889ad5.jpg
内蒙古·兴安盟·阿尔山市,阿尔山滑雪场,1434123715,运动健身,无级别,热度 0.72,内蒙古兴安盟阿尔山市阿尔山滑雪场,雪质上乘，风速缓，黄金纬度的绝佳滑雪地,119.947952,47.179127,无票价,无销量,http://img1.qunarzz.com/sight/p0/201311/28/3d64db614ce5d210e889960dfdf8988a.jpg_280x200_b933fa8d.jpg
澳门·澳门·澳门半岛,澳门运动场,1231725790,运动健身,无级别,热度 0.7,澳门特别行政区氹仔岛,"位于赛马会附近，可容纳15,000名观众，拥有真草足球场，全天候跑道，速度及跳远训练场地等先进设施。这运动场用作举办国际",113.55952285783,22.16156888,无票价,无销量,http://img1.qunarzz.com/sight/p88/201211/06/bcb52a3ce9eec35693835fbb.jpg_280x200_dda8f31d.jpg
